第 1 题答案是  : 20`4/7
第 2 题答案是  : 7
第 3 题答案是  : 50`1/4
第 4 题答案是  : -18
第 5 题答案是  : -5`49/66
第 6 题答案是  : 5`21/23
第 7 题答案是  : 3`1/2
第 8 题答案是  : 150
第 9 题答案是  : 105
第 10 题答案是  : 28
第 11 题答案是  : 2
第 12 题答案是  : -12`1/2
第 13 题答案是  : 12`2/7
第 14 题答案是  : 12`94/209
第 15 题答案是  : 6`42/209
第 16 题答案是  : 1
第 17 题答案是  : 4`389/480
第 18 题答案是  : 12`1/10
第 19 题答案是  : 0
第 20 题答案是  : 0
第 21 题答案是  : -58/99
第 22 题答案是  : 4
第 23 题答案是  : 65`4/7
第 24 题答案是  : 9/20
第 25 题答案是  : 20`37/70
第 26 题答案是  : 6
第 27 题答案是  : -1/9
第 28 题答案是  : -12`1/3
第 29 题答案是  : 13`11/19
第 30 题答案是  : -21`3/4
第 31 题答案是  : 700
第 32 题答案是  : -78
第 33 题答案是  : -9/10
第 34 题答案是  : -14
第 35 题答案是  : 8`13/414
第 36 题答案是  : 6`2/9
第 37 题答案是  : 0/504
第 38 题答案是  : -21
第 39 题答案是  : 41`1/4
第 40 题答案是  : -5/18
第 41 题答案是  : 1`7/120
第 42 题答案是  : 6`3/7
第 43 题答案是  : 14
第 44 题答案是  : 0
第 45 题答案是  : 0/4761
第 46 题答案是  : 21
第 47 题答案是  : -439
第 48 题答案是  : 19`1/3
第 49 题答案是  : 4`1/2
第 50 题答案是  : 24`8/19
第 51 题答案是  : 4
第 52 题答案是  : 356`5/9
第 53 题答案是  : 9`3/4
第 54 题答案是  : -2
第 55 题答案是  : 180
第 56 题答案是  : 22
第 57 题答案是  : 792
第 58 题答案是  : 69
第 59 题答案是  : -38`16/17
第 60 题答案是  : 82`4/5
第 61 题答案是  : 7`4/13
第 62 题答案是  : 440
第 63 题答案是  : 17`1/19
第 64 题答案是  : 4`1/5
第 65 题答案是  : -10`4/7
第 66 题答案是  : 10
第 67 题答案是  : 5/56
第 68 题答案是  : 5`1/2
第 69 题答案是  : 0/196
第 70 题答案是  : 27
第 71 题答案是  : 42
第 72 题答案是  : 48
第 73 题答案是  : 1`3/5
第 74 题答案是  : 2`16/33
第 75 题答案是  : -11`1/2
第 76 题答案是  : 3`1/23
第 77 题答案是  : 293/594
第 78 题答案是  : 16`4/11
第 79 题答案是  : 18
第 80 题答案是  : 28/75
第 81 题答案是  : 36
第 82 题答案是  : 291`1/3
第 83 题答案是  : -22`10/11
第 84 题答案是  : 17
第 85 题答案是  : 307`6/7
第 86 题答案是  : 105`1/30
第 87 题答案是  : 2`3/119
第 88 题答案是  : -273
第 89 题答案是  : 7
第 90 题答案是  : 13`589/594
第 91 题答案是  : -1`6/7
第 92 题答案是  : 168`7/22
第 93 题答案是  : 35
第 94 题答案是  : 7/30
第 95 题答案是  : 22`3/10
第 96 题答案是  : 4
第 97 题答案是  : 15`2/3
第 98 题答案是  : -3`2/5
第 99 题答案是  : 11`13/15
第 100 题答案是  : 24`6/7
